raw_SMILES,reaxys_id,SMILES,cas_number
BrC1=CC=CC2=C1C=CC=C2C1=CC=CC=C1,10433050,Brc1cccc2c(-c3ccccc3)cccc12,911836-38-9
COC(=O)C(C)C1=CC=CC=C1Br,10530414,COC(=O)C(C)c1ccccc1Br,115615-34-4
CCC(O)C1=CC(Br)=CC=C1F,10531123,CCC(O)c1cc(Br)ccc1F,0
[H][C@]1(CCCCC1=O)[C@@H](O)C1=CC=CC(Br)=C1,10548442,O=C1CCCC[C@H]1[C@@H](O)c1cccc(Br)c1,0
ClC1=CC=C(C=C1)C1(CCNCC1)C1=CC=C(Br)C=C1,11038974,Clc1ccc(C2(c3ccc(Br)cc3)CCNCC2)cc1,857531-01-2
BrC1=CC=C(C=C1)N1C=C(C=O)N=N1,11104358,O=Cc1cn(-c2ccc(Br)cc2)nn1,916151-04-7
OC(=O)C1=C(S)C=C(Br)C=C1,11192708,O=C(O)c1ccc(Br)cc1S,116209-30-4
CC(C)(C)OC(=O)OC1=CC=C(Br)C=C1,11266034,CC(C)(C)OC(=O)Oc1ccc(Br)cc1,436848-01-0
CC(=O)OCC(=O)NC1=C(F)C=C(Br)C=C1,11267751,CC(=O)OCC(=O)Nc1ccc(Br)cc1F,0
CC1=CC2=C(CC(C)(C)CC2=O)N1C1=CC=C(C#N)C(Br)=C1,12697544,Cc1cc2c(n1-c1ccc(C#N)c(Br)c1)CC(C)(C)CC2=O,0
CCC(CC)OC1=C(C)C(OC2=C(C)C=C(Br)C=C2C)=NC(C)=C1,13255652,CCC(CC)Oc1cc(C)nc(Oc2c(C)cc(Br)cc2C)c1C,175139-54-5
OC1=C(C=O)C=C(Br)C=C1I,13425939,O=Cc1cc(Br)cc(I)c1O,0
BrC1=C(C=CC=C1)C1(CC1)C#N,13501626,N#CC1(c2ccccc2Br)CC1,0
COC1=CC(Br)=C(Cl)C=C1Cl,13832159,COc1cc(Br)c(Cl)cc1Cl,174913-22-5
OCCCC(O)C1=CC=C(Br)C=C1,14212331,OCCCC(O)c1ccc(Br)cc1,509083-36-7
CCOC1=C(Br)C=CC(N)=C1,14338131,CCOc1cc(N)ccc1Br,125756-95-8
OC1=CC(OC(F)(F)F)=CC=C1Br,14363103,Oc1cc(OC(F)(F)F)ccc1Br,205371-26-2
CCOC(=O)CC1=C(C=CC(Br)=C1)N(=O)=O,14484359,CCOC(=O)Cc1cc(Br)ccc1[N+](=O)[O-],870274-21-8
CCOC(=O)CC1=C(Cl)C=C(Br)C=C1,14489721,CCOC(=O)Cc1ccc(Br)cc1Cl,1261606-45-4
